event_id,market_date,ticker,name,relation_type,relation_weight,mapping_relevance,link_confidence,theme,theme_materiality_score,material_score,material_status,ticker_material_score,positive_negative,novelty_status,event_type,event_stage,companies,direct_stock_codes,event_title,event_summary,link_reason,evidence,link_version,reference_signature
EV_b9aaa8915530310c,20260914,056730,cnt85,DIRECT,1.0,1.0,100.0,,0.0,78.0,CONFIRMED,78.0,POSITIVE,NEW_EVENT,ORDER_CONTRACT,CONFIRMED,cnt85,56730.0,[기재정정]단일판매ㆍ공급계약체결(자율공시),[기재정정]단일판매ㆍ공급계약체결(자율공시),stock code directly identified by EventExtractor,event stock_code=056730,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_ddffc023f85bd888,20260914,272210,한화시스템,DIRECT,1.0,1.0,100.0,,0.0,78.0,CONFIRMED,78.0,POSITIVE,NEW_EVENT,ORDER_CONTRACT,CONFIRMED,한화시스템,272210.0,단일판매ㆍ공급계약체결,단일판매ㆍ공급계약체결,stock code directly identified by EventExtractor,event stock_code=272210,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_079114eaafae0abc,20260914,290660,다이나믹솔루션,DIRECT,1.0,1.0,100.0,,0.0,78.0,CONFIRMED,78.0,NEUTRAL,NEW_EVENT,MNA,CONFIRMED,다이나믹솔루션,290660.0,타법인주식및출자증권취득결정,타법인주식및출자증권취득결정,stock code directly identified by EventExtractor,event stock_code=290660,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_3fa9fb134a8cba3d,20260914,074430,아미노로직스,DIRECT,1.0,1.0,100.0,,0.0,77.0,CONFIRMED,77.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,STARTED,아미노로직스,74430.0,주요사항보고서(제3자의전환사채매수선택권행사),주요사항보고서(제3자의전환사채매수선택권행사),stock code directly identified by EventExtractor,event stock_code=074430,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_e8a3fe58e9a85923,20260914,183490,엔지켐생명과학,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,LITIGATION,CONFIRMED,엔지켐생명과학,183490.0,소송등의제기ㆍ신청(경영권분쟁소송) (직무집행정지가처분),소송등의제기ㆍ신청(경영권분쟁소송) (직무집행정지가처분),stock code directly identified by EventExtractor,event stock_code=183490,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_2ba4d4b98a000168,20260914,001210,금호전기,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,금호전기,1210.0,[기재정정]주요사항보고서(전환사채권발행결정),[기재정정]주요사항보고서(전환사채권발행결정),stock code directly identified by EventExtractor,event stock_code=001210,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_0a63b5c8b21c38d4,20260914,197140,디지캡,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,BUYBACK,CONFIRMED,디지캡,197140.0,신탁계약에의한취득상황보고서,신탁계약에의한취득상황보고서,stock code directly identified by EventExtractor,event stock_code=197140,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_0ccd862c32cd02ba,20260914,007460,에이프로젠,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,에이프로젠,7460.0,[기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항),[기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항),stock code directly identified by EventExtractor,event stock_code=007460,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_a6cc42cb4d7079ff,20260914,192410,오늘이엔엠,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,오늘이엔엠,192410.0,주요사항보고서(유상증자결정),주요사항보고서(유상증자결정),stock code directly identified by EventExtractor,event stock_code=192410,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_fc3c58e1861372fc,20260914,119830,아이텍,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,아이텍,119830.0,[기재정정]주요사항보고서(유상증자결정),[기재정정]주요사항보고서(유상증자결정),stock code directly identified by EventExtractor,event stock_code=119830,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_0b23d3ed91b10b33,20260914,036120,서울평가정보,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,BUYBACK,CONFIRMED,서울평가정보,36120.0,신탁계약에의한취득상황보고서,신탁계약에의한취득상황보고서,stock code directly identified by EventExtractor,event stock_code=036120,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_f87e16519cb142d9,20260914,003060,에이프로젠바이오로직스,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,에이프로젠바이오로직스,3060.0,[기재정정]주요사항보고서(유상증자결정),[기재정정]주요사항보고서(유상증자결정),stock code directly identified by EventExtractor,event stock_code=003060,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_e10679d5511926fa,20260914,206950,볼빅,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,볼빅,206950.0,증권발행결과(자율공시) (제3자배정_상환전환우선주),증권발행결과(자율공시) (제3자배정_상환전환우선주),stock code directly identified by EventExtractor,event stock_code=206950,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_a3d8b28d8a9c07b5,20260914,011300,우성머티리얼스,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,우성머티리얼스,11300.0,소액공모공시서류(지분증권),소액공모공시서류(지분증권),stock code directly identified by EventExtractor,event stock_code=011300,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_6005124b330458a2,20260914,038060,루멘스,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,루멘스,38060.0,주요사항보고서(유상증자결정),주요사항보고서(유상증자결정),stock code directly identified by EventExtractor,event stock_code=038060,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_3805048df62c621e,20260914,038060,루멘스,DIRECT,1.0,1.0,100.0,,0.0,75.0,CONFIRMED,75.0,NEUTRAL,NEW_EVENT,CAPITAL_REDUCTION,CONFIRMED,루멘스,38060.0,주요사항보고서(감자결정),주요사항보고서(감자결정),stock code directly identified by EventExtractor,event stock_code=038060,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_c530e808c26ea504,20260914,038060,루멘스,DIRECT,1.0,1.0,100.0,,0.0,74.0,CONFIRMED,74.0,NEGATIVE,NEW_EVENT,TRADING_HALT,CONFIRMED,루멘스,38060.0,주권매매거래정지 (자본감소),주권매매거래정지 (자본감소),stock code directly identified by EventExtractor,event stock_code=038060,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_601096d6f8f2f964,20260914,389680,유디엠텍,DIRECT,1.0,1.0,100.0,,0.0,74.0,CONFIRMED,74.0,NEGATIVE,NEW_EVENT,SANCTION,CONFIRMED,유디엠텍,389680.0,[기재정정]불성실공시법인지정예고 (공시번복),[기재정정]불성실공시법인지정예고 (공시번복),stock code directly identified by EventExtractor,event stock_code=389680,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_9da3263a9960ed5c,20260914,333620,엔시스,DIRECT,1.0,1.0,100.0,,0.0,73.0,CONFIRMED,73.0,NEUTRAL,NEW_EVENT,CONVERTIBLE_ADJUSTMENT,CONFIRMED,엔시스,333620.0,전환가액의조정,전환가액의조정,stock code directly identified by EventExtractor,event stock_code=333620,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_f1e4f16e3f2f93f0,20260914,101000,KS인더스트리,DIRECT,1.0,1.0,98.0,,0.0,73.0,CONFIRMED,73.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,ks인더스트리,,유상증자결정(제3자배정),유상증자결정(제3자배정),exact company/alias match in ticker master,company=ks인더스트리,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_9392230c3e65a88b,20260914,334970,프레스티지바이오로직스,DIRECT,1.0,1.0,100.0,,0.0,72.0,CONFIRMED,72.0,NEUTRAL,NEW_EVENT,SHARE_CONSOLIDATION,CONFIRMED,프레스티지바이오로직스,334970.0,주식병합결정,주식병합결정,stock code directly identified by EventExtractor,event stock_code=334970,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_539d8b367fe0d642,20260914,074430,아미노로직스,DIRECT,1.0,1.0,100.0,,0.0,70.0,CONFIRMED,70.0,NEUTRAL,REHASH,CAPITAL_RAISE,STARTED,아미노로직스,74430.0,주요사항보고서(전환사채매수선택권행사자지정),주요사항보고서(전환사채매수선택권행사자지정),stock code directly identified by EventExtractor,event stock_code=074430,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_bf291fdcd7580c02,20260914,006260,ls,DIRECT,1.0,1.0,100.0,,0.0,68.0,WATCH,68.0,NEUTRAL,REHASH,CAPITAL_RAISE,CONFIRMED,ls,6260.0,교환사채권발행결정(자회사의 주요경영사항),교환사채권발행결정(자회사의 주요경영사항),stock code directly identified by EventExtractor,event stock_code=006260,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_603e349056c724c9,20260914,007460,에이프로젠,DIRECT,1.0,1.0,100.0,,0.0,68.0,WATCH,68.0,NEUTRAL,REHASH,CAPITAL_RAISE,CONFIRMED,에이프로젠,7460.0,[기재정정]주요사항보고서(전환사채권발행결정),[기재정정]주요사항보고서(전환사채권발행결정),stock code directly identified by EventExtractor,event stock_code=007460,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_9b488f4252bb4d3b,20260914,011090,에넥스,DIRECT,1.0,1.0,100.0,,0.0,68.0,WATCH,68.0,NEUTRAL,REHASH,CAPITAL_RAISE,CONFIRMED,에넥스,11090.0,[기재정정]주요사항보고서(유상증자결정),[기재정정]주요사항보고서(유상증자결정),stock code directly identified by EventExtractor,event stock_code=011090,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_e394f52550e4d12f,20260914,034310,nice,DIRECT,1.0,1.0,100.0,,0.0,62.0,WATCH,62.0,NEUTRAL,NEW_EVENT,CORPORATE_GOVERNANCE,CONFIRMED,nice,34310.0,대표이사(대표집행임원)변경(안내공시),대표이사(대표집행임원)변경(안내공시),stock code directly identified by EventExtractor,event stock_code=034310,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_e7fc6ce4c31d5ad6,20260914,487570,hs효성,DIRECT,1.0,1.0,100.0,,0.0,62.0,WATCH,62.0,NEUTRAL,REHASH,DEBT_GUARANTEE,CONFIRMED,hs효성,487570.0,타인에대한채무보증결정(자회사의 주요경영사항),타인에대한채무보증결정(자회사의 주요경영사항),stock code directly identified by EventExtractor,event stock_code=487570,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_3e46b699377d9f87,20260914,487570,hs효성,DIRECT,1.0,1.0,100.0,,0.0,62.0,WATCH,62.0,NEUTRAL,REHASH,DEBT_GUARANTEE,CONFIRMED,hs효성,487570.0,타인에대한채무보증결정(자회사의 주요경영사항),타인에대한채무보증결정(자회사의 주요경영사항),stock code directly identified by EventExtractor,event stock_code=487570,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_beacf09bce758148,20260914,003240,태광산업,DIRECT,1.0,1.0,100.0,,0.0,60.0,WATCH,60.0,NEUTRAL,NEW_EVENT,MARKET_QUERY,CONFIRMED,태광산업,3240.0,풍문또는보도에대한해명,풍문또는보도에대한해명,stock code directly identified by EventExtractor,event stock_code=003240,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_deebb159e12e3393,20260914,000400,롯데손해보험,DIRECT,1.0,1.0,100.0,,0.0,56.0,WATCH,56.0,NEUTRAL,NEW_EVENT,MARKET_QUERY,CONFIRMED,롯데손해보험,400.0,조회공시요구(풍문또는보도)에대한답변(미확정),조회공시요구(풍문또는보도)에대한답변(미확정),stock code directly identified by EventExtractor,event stock_code=000400,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_d15eb5a2de3fa83f,20260914,101360,에코앤드림,DIRECT,1.0,1.0,100.0,,0.0,56.0,WATCH,56.0,NEUTRAL,NEW_EVENT,MARKET_QUERY,CONFIRMED,에코앤드림,101360.0,풍문또는보도에대한해명(미확정),풍문또는보도에대한해명(미확정),stock code directly identified by EventExtractor,event stock_code=101360,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_b2b3d91673d5276b,20260914,334970,프레스티지바이오로직스,DIRECT,1.0,1.0,100.0,,0.0,55.0,WATCH,55.0,NEUTRAL,NEW_EVENT,CORPORATE_GOVERNANCE,CONFIRMED,프레스티지바이오로직스,334970.0,주주총회소집결의,주주총회소집결의,stock code directly identified by EventExtractor,event stock_code=334970,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
EV_82c2e8c43e892fcc,20260914,099750,이지케어텍,DIRECT,1.0,1.0,100.0,,0.0,55.0,WATCH,55.0,NEUTRAL,NEW_EVENT,CORPORATE_GOVERNANCE,CONFIRMED,이지케어텍,99750.0,임시주주총회결과,임시주주총회결과,stock code directly identified by EventExtractor,event stock_code=099750,RULE_TICKER_LINK_V1_2,12376f60f0e2ed123cba
